// UPGRADE,UNIT,TYPE,EPOCH,HP,LOS,DAMAGE,RANGE,RELOAD,BUILDTIME,FOOD,WOOD,STONE,GOLD,TIN,IRON,SALTPETER,OIL,URANIUM,DISPLAYNAME,DISPLAYNAME,VISUAL,UI VISUAL,ICON,MMCOLOR,POP CAPACITY,FULLMAP,TOOLTIP,SNDSEL,SNDMOVE,SNDATTACK,SNDDEATH,UPGRADEREFS,CIV
LeaderMilitaryUpgradeEpoch13,LeaderMilitary,"""Unit""",13,840,5,59,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderMilitaryUpgradeEpoch14,LeaderMilitary,"""Unit""",14,860,5,61,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderMilitaryUpgradeEpoch15,LeaderMilitary,"""Unit""",15,880,5,63,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch1,LeaderEconomic,"""Unit""",1,600,5,25,0.8,2,0,0,0,0,0,0,0,0,0,0,,,LeaderEconomic,,icon_unit_LeaderEcon_01,[0 0 0 0],0,0,vtt_unit_LeaderEconomic1,[v_leader_eco_01_sel01],[v_leader_eco_01_com01 v_leader_eco_01_com02],[v_leader_eco_01_com01 v_leader_eco_01_com02 v_leader_eco_01_spe01],[],[LeaderEconPowerUpgradeEpoch1 LeaderEconEffectUpgradeEpoch1],All
LeaderEconomicUpgradeEpoch2,LeaderEconomic,"""Unit""",2,620,5,27,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch3,LeaderEconomic,"""Unit""",3,640,5,29,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch4,LeaderEconomic,"""Unit""",4,660,5,31,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch5,LeaderEconomic,"""Unit""",5,680,5,33,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch6,LeaderEconomic,"""Unit""",6,700,5,35,0.8,2,0,0,0,0,0,0,0,0,0,0,,,LeaderEconomic_6,,icon_unit_LeaderEcon_06,[0 0 0 0],0,0,vtt_unit_LeaderEconomic6,[v_leader_eco_02_sel01],[v_leader_eco_02_com01 v_leader_eco_02_com02],[v_leader_eco_02_com01 v_leader_eco_02_com02 v_leader_eco_02_spe01],[],[LeaderEconPowerUpgradeEpoch6 LeaderEconEffectUpgradeEpoch6 LeaderEconAttackUpgradeEpoch6 LeaderEconMoveUpgradeEpoch6],All
LeaderEconomicUpgradeEpoch7,LeaderEconomic,"""Unit""",7,720,5,37,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch8,LeaderEconomic,"""Unit""",8,740,5,39,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch9,LeaderEconomic,"""Unit""",9,760,5,41,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch10,LeaderEconomic,"""Unit""",10,780,5,43,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch11,LeaderEconomic,"""Unit""",11,800,5,45,5,2,0,0,0,0,0,0,0,0,0,0,,,LeaderEconomic_11,,icon_unit_LeaderEcon_11,[0 0 0 0],0,0,vtt_unit_LeaderEconomic11,[v_leader_eco_03_sel01],[v_leader_eco_03_com01 v_leader_eco_03_com02],[v_leader_eco_03_com01 v_leader_eco_03_com02 v_leader_eco_03_spe01],[],[LeaderEconPowerUpgradeEpoch11 LeaderEconEffectUpgradeEpoch11 LeaderEconAttackUpgradeEpoch11],All
LeaderEconomicUpgradeEpoch12,LeaderEconomic,"""Unit""",12,820,5,47,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch13,LeaderEconomic,"""Unit""",13,840,5,49,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch14,LeaderEconomic,"""Unit""",14,860,5,51,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderEconomicUpgradeEpoch15,LeaderEconomic,"""Unit""",15,880,5,53,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch1,LeaderImperial,"""Unit""",1,600,5,25,0.8,2,0,0,0,0,0,0,0,0,0,0,,,LeaderImperial,,icon_unit_LeaderImp_01,[0 0 0 0],0,0,vtt_unit_LeaderImperial1,[v_leader_imp_01_sel01],[v_leader_imp_01_com01 v_leader_imp_01_com02],[v_leader_imp_01_com01 v_leader_imp_01_com02 v_leader_imp_01_spe01],[],[LeaderImpPowerUpgradeEpoch1 LeaderImpEffectUpgradeEpoch1],All
LeaderImperialUpgradeEpoch2,LeaderImperial,"""Unit""",2,620,5,27,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch3,LeaderImperial,"""Unit""",3,640,5,29,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch4,LeaderImperial,"""Unit""",4,660,5,31,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch5,LeaderImperial,"""Unit""",5,680,5,33,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch6,LeaderImperial,"""Unit""",6,700,5,35,0.8,2,0,0,0,0,0,0,0,0,0,0,,,LeaderImperial_6,,icon_unit_LeaderImp_06,[0 0 0 0],0,0,vtt_unit_LeaderImperial6,[v_leader_imp_02_sel01],[v_leader_imp_02_com01 v_leader_imp_02_com02],[v_leader_imp_02_com01 v_leader_imp_02_com02 v_leader_imp_02_spe01],[],[LeaderImpPowerUpgradeEpoch6 LeaderImpEffectUpgradeEpoch6 LeaderImpAttackUpgradeEpoch6 LeaderImpMoveUpgradeEpoch6],All
LeaderImperialUpgradeEpoch7,LeaderImperial,"""Unit""",7,720,5,37,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch8,LeaderImperial,"""Unit""",8,740,5,39,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch9,LeaderImperial,"""Unit""",9,760,5,41,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch10,LeaderImperial,"""Unit""",10,780,5,43,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch11,LeaderImperial,"""Unit""",11,800,5,45,5,2,0,0,0,0,0,0,0,0,0,0,,,LeaderImperial_11,,icon_unit_LeaderImp_11,[0 0 0 0],0,0,vtt_unit_LeaderImperial11,[v_leader_imp_03_sel01],[v_leader_imp_03_com01 v_leader_imp_03_com02],[v_leader_imp_03_com01 v_leader_imp_03_com02 v_leader_imp_03_spe01],[],[LeaderImpPowerUpgradeEpoch11 LeaderImpEffectUpgradeEpoch11 LeaderImpAttackUpgradeEpoch11],All
LeaderImperialUpgradeEpoch12,LeaderImperial,"""Unit""",12,820,5,47,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch13,LeaderImperial,"""Unit""",13,840,5,49,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch14,LeaderImperial,"""Unit""",14,860,5,51,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
LeaderImperialUpgradeEpoch15,LeaderImperial,"""Unit""",15,880,5,53,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch1,KingRegicide,"""Unit""",1,600,5,25,0.8,2,0,0,0,0,0,0,0,0,0,0,,,KingRegicide,,icon_unit_LeaderImp_01,[0 0 0 0],0,0,vtt_unit_kingReg,[v_leader_imp_01_sel01],[v_leader_imp_01_com01 v_leader_imp_01_com02],[v_leader_imp_01_com01 v_leader_imp_01_com02 v_leader_imp_01_spe01],[],[],All
KingRegicideUpgradeEpoch2,KingRegicide,"""Unit""",2,620,5,27,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch3,KingRegicide,"""Unit""",3,640,5,29,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch4,KingRegicide,"""Unit""",4,660,5,31,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch5,KingRegicide,"""Unit""",5,680,5,33,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch6,KingRegicide,"""Unit""",6,700,5,35,0.8,2,0,0,0,0,0,0,0,0,0,0,,,KingRegicide_6,,icon_unit_LeaderImp_06,[0 0 0 0],0,0,,[v_leader_imp_02_sel01],[v_leader_imp_02_com01 v_leader_imp_02_com02],[v_leader_imp_02_com01 v_leader_imp_02_com02 v_leader_imp_02_spe01],[],[KingRegAttackUpgradeEpoch6 KingRegMoveUpgradeEpoch6],All
KingRegicideUpgradeEpoch7,KingRegicide,"""Unit""",7,720,5,37,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch8,KingRegicide,"""Unit""",8,740,5,39,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch9,KingRegicide,"""Unit""",9,760,5,41,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch10,KingRegicide,"""Unit""",10,780,5,43,0.8,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch11,KingRegicide,"""Unit""",11,800,5,45,5,2,0,0,0,0,0,0,0,0,0,0,,,KingRegicide_11,,icon_unit_LeaderImp_11,[0 0 0 0],0,0,,[v_leader_imp_03_sel01],[v_leader_imp_03_com01 v_leader_imp_03_com02],[v_leader_imp_03_com01 v_leader_imp_03_com02 v_leader_imp_03_spe01],[],[KingRegAttackUpgradeEpoch11],All
KingRegicideUpgradeEpoch12,KingRegicide,"""Unit""",12,820,5,47,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch13,KingRegicide,"""Unit""",13,840,5,49,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch14,KingRegicide,"""Unit""",14,860,5,51,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
KingRegicideUpgradeEpoch15,KingRegicide,"""Unit""",15,880,5,53,5,2,0,0,0,0,0,0,0,0,0,0,,,,,,[0 0 0 0],0,0,,[],[],[],[],[],All
TradeCartUpgradeEpoch1,TradeCart,"""Unit""",2,100,5,0,0,0,50,55,175,0,210,0,0,0,0,0,tx_utn_TradeCart_name,tx_utn_TradeCart_pname,TradeCart,,icon_unit_tradecart_2,[0 0 0 0],0,0,vtt_unit_TradeCart,[v_TradeCart01_sel01],[v_TradeCart01_com01 v_TradeCart01_com02],[v_TradeCart01_com01 v_TradeCart01_com02],[],[],All
TradeCartUpgradeEpoch2,TradeCart,"""Unit""",2,200,5,0,0,0,50,55,175,0,210,0,0,0,0,0,tx_utn_TradeCart_name,tx_utn_TradeCart_pname,TradeCart,,icon_unit_tradecart_2,[0 0 0 0],0,0,vtt_unit_TradeCart,[v_TradeCart01_sel01],[v_TradeCart01_com01 v_TradeCart01_com02],[v_TradeCart01_com01 v_TradeCart01_com02],[],[],All
TradeCartUpgradeEpoch6,TradeCart,"""Unit""",6,250,5,0,0,0,50,55,175,0,210,0,0,0,0,0,tx_utn_TradeCart_name,tx_utn_TradeCart_pname,TradeCart_6,,icon_unit_tradecart_6,[0 0 0 0],0,0,vtt_unit_TradeCart,[v_TradeCart02_sel01],[v_TradeCart02_com01 v_TradeCart02_com02],[v_TradeCart02_com01 v_TradeCart02_com02],[],[],All
TradeCartUpgradeEpoch11,TradeCart,"""Unit""",11,300,5,0,0,0,50,155,175,0,210,0,0,0,0,0,tx_utn_TradeCart_name,tx_utn_TradeCart_pname,TradeCart_11,,icon_unit_tradecart_11,[0 0 0 0],0,0,vtt_unit_TradeCart,[v_TradeCart03_sel01],[v_TradeCart03_com01 v_TradeCart03_com02],[v_TradeCart03_com01 v_TradeCart03_com02],[],[],All
TradeCartUpgradeEpoch12,TradeCart,"""Unit""",12,400,5,0,0,0,50,100,205,0,210,0,0,0,0,0,tx_utn_TradeCart_name,tx_utn_TradeCart_pname,TradeCart_12,,icon_unit_tradecart_11,[0 0 0 0],0,0,vtt_unit_TradeCart,[v_TradeCart03_sel01],[v_TradeCart03_com01 v_TradeCart03_com02],[v_TradeCart03_com01 v_TradeCart03_com02],[],[],All
TradeCartUpgradeEpoch13,TradeCart,"""Unit""",13,500,5,0,0,0,50,100,205,0,210,0,0,0,0,0,tx_utn_TradeCart_name,tx_utn_TradeCart_pname,TradeCart_13,,icon_unit_tradecart_11,[0 0 0 0],0,0,vtt_unit_TradeCart,[v_TradeCart03_sel01],[v_TradeCart03_com01 v_TradeCart03_com02],[v_TradeCart03_com01 v_TradeCart03_com02],[],[],All
TradeCartUpgradeEpoch15,TradeCart,"""Unit""",15,600,5,0,0,0,50,100,205,0,210,0,0,0,0,0,tx_utn_TradeCart_name,tx_utn_TradeCart_pname,TradeCart_15,,icon_unit_tradecart_15,[0 0 0 0],0,0,vtt_unit_TradeCart,[v_TradeCart03_sel01],[v_TradeCart03_com01 v_TradeCart03_com02],[v_TradeCart03_com01 v_TradeCart03_com02],[],[],All
RamUpgradeEpoch1,Ram,"""Unit""",3,575,4,200,0.8,4,52,0,260,0,260,230,0,0,0,0,tx_utn_ram_e3_name,tx_utn_ram_e3_pname,Ram_03,,icon_unit_Ram_3,[0 0 0 0],0,0,vtt_unit_Ram,[v_ram_03_sel01],[v_ram_03_com01 v_ram_03_com02],[v_ram_03_com01 v_ram_03_com02 v_ram_03_spe01],[],[Ram_Improve_Reset RamEpoch3Attack],All
RamUpgradeEpoch3,Ram,"""Unit""",4,575,4,250,0.8,4,52,0,260,0,260,230,0,0,0,0,tx_utn_ram_e3_name,tx_utn_ram_e3_pname,Ram_03,,icon_unit_Ram_3,[0 0 0 0],0,0,vtt_unit_Ram,[v_ram_03_sel01],[v_ram_03_com01 v_ram_03_com02],[v_ram_03_com01 v_ram_03_com02 v_ram_03_spe01],[],[Ram_Improve_Reset RamEpoch3Attack],All
RamUpgradeEpoch5,Ram,"""Unit""",5,750,4,300,0.8,4,52,0,260,0,260,230,0,0,0,0,tx_utn_ram_e5_name,tx_utn_ram_e5_pname,Ram_05,,icon_unit_Ram_5,[0 0 0 0],0,0,vtt_unit_Ram,[v_ram_05_sel01],[v_ram_05_com01 v_ram_05_com02],[v_ram_05_com01 v_ram_05_com02 v_ram_05_spe01],[],[Ram_Improve_Reset RamEpoch5Attack],All
SeigeTowerUpgradeEpoch1,SiegeTower,"""Unit""",4,700,6,120,6,2.5,39,0,260,0,260,0,230,0,0,0,tx_utn_SiegeTower4_name,tx_utn_SiegeTower4_pname,SiegeTower_04,,icon_unit_SiegeTower_4,[0 0 0 0],0,0,vtt_unit_SiegeTower,[],[],[],[],[SiegeTower_Improve_Reset SiegeTowerEpoch4Attack],All
SeigeTowerUpgradeEpoch4,SiegeTower,"""Unit""",4,800,6,120,6,2.5,39,0,260,0,260,0,230,0,0,0,tx_utn_SiegeTower4_name,tx_utn_SiegeTower4_pname,SiegeTower_04,,icon_unit_SiegeTower_4,[0 0 0 0],0,0,vtt_unit_SiegeTower,[v_Siege_03_sel01],[v_Siege_03_com01 v_Siege_03_com02],[v_Siege_03_com01 v_Siege_03_com02 v_Siege_03_spe01],[],[SiegeTower_Improve_Reset SiegeTowerEpoch4Attack],All
SeigeTowerUpgradeEpoch6,SiegeTower,"""Unit""",6,1000,6,150,6,2.5,39,0,260,0,260,0,230,0,0,0,tx_utn_SiegeTower6_name,tx_utn_SiegeTower6_pname,SiegeTower_06,,icon_unit_SiegeTower_6,[0 0 0 0],0,0,vtt_unit_SiegeTower,[v_HSiege_05_sel01],[v_HSiege_05_com01 v_HSiege_05_com02],[v_HSiege_05_com01 v_HSiege_05_com02 v_HSiege_05_spe01],[],[SiegeTower_Improve_Reset SiegeTowerEpoch6Attack],All
MedicUpgradeEpoch1,Medic,"""Unit""",10,110,5,0,0,0,25,50,0,0,50,0,0,0,0,0,tx_utn_medic_name,tx_utn_medic_pname,Medic,,icon_unit_medic_10,[0 0 0 0],0,0,vtt_unit_medic,[v_Medic_10_sel01],[v_Medic_10_com01 v_Medic_10_com02],[v_Medic_10_com01 v_Medic_10_com02 v_Medic_10_spe01],[fx_death_female_01 fx_death_female_02 fx_death_female_03 fx_death_female_04],[],All
MedicUpgradeEpoch10,Medic,"""Unit""",10,230,5,0,0,0,25,50,0,0,50,0,0,0,0,0,tx_utn_medic_name,tx_utn_medic_pname,Medic,,icon_unit_medic_10,[0 0 0 0],0,0,vtt_unit_medic,[v_Medic_10_sel01],[v_Medic_10_com01 v_Medic_10_com02],[v_Medic_10_com01 v_Medic_10_com02 v_Medic_10_spe01],[fx_death_female_01 fx_death_female_02 fx_death_female_03 fx_death_female_04],[],All
MedicUpgradeEpoch12,Medic,"""Unit""",12,350,5,0,0,0,25,50,0,0,50,0,0,0,0,0,tx_utn_medic_name,tx_utn_medic_pname,Medic_12,,icon_unit_medic_12,[0 0 0 0],0,0,vtt_unit_medic,[v_Medic_12_sel01],[v_Medic_12_com01 v_Medic_12_com02],[v_Medic_12_com01 v_Medic_12_com02 v_Medic_12_spe01],[fx_death_male_01 fx_death_male_02 fx_death_male_03 fx_death_male_04 fx_death_male_05 fx_death_male_06 fx_death_male_07],[],All
MedicUpgradeEpoch14,Medic,"""Unit""",14,400,5,0,0,0,25,50,0,0,50,0,0,0,0,0,tx_utn_medic_name,tx_utn_medic_pname,Medic_14,,icon_unit_medic_14,[0 0 0 0],0,0,vtt_unit_medic,[v_Medic_14_sel01],[v_Medic_14_com01 v_Medic_14_com02],[v_Medic_14_com01 v_Medic_14_com02 v_Medic_14_spe01],[],[],All
PriestUpgradeEpoch1,Priest,"""Unit""",1,160,5,0,0,0,45.5,55,0,0,65,0,0,0,0,0,tx_utn_priest_name,tx_utn_priest_pname,Priest,,icon_unit_priest,[0 0 0 0],0,0,vtt_unit_Priest,[v_Priest_01_sel01],[v_Priest_01_com01 v_Priest_01_com02 v_Priest_01_spe01],[v_Priest_01_com01 v_Priest_01_com02 v_Priest_01_spe01],[],[],All
PriestUpgradeEpoch4,Priest,"""Unit""",4,250,5,0,0,0,45.5,60,0,0,70,0,0,0,0,0,tx_utn_priest_name,tx_utn_priest_pname,Priest_4,,icon_unit_priest_4,[0 0 0 0],0,0,vtt_unit_Priest,[v_Priest_04_sel01],[v_Priest_04_com01 v_Priest_04_com02 v_Priest_04_spe01],[v_Priest_04_com01 v_Priest_04_com02 v_Priest_04_spe01],[],[],All
PriestUpgradeEpoch7,Priest,"""Unit""",7,300,6,0,0,0,45.5,70,0,0,75,0,0,0,0,0,tx_utn_priest_name,tx_utn_priest_pname,Priest_7,,icon_unit_priest_7,[0 0 0 0],0,0,vtt_unit_Priest,[v_Priest_07_sel01],[v_Priest_07_com01 v_Priest_07_com02 v_Priest_07_spe01],[v_Priest_07_com01 v_Priest_07_com02 v_Priest_07_spe01],[],[],All
PriestUpgradeEpoch10,Priest,"""Unit""",10,355,8,0,0,0,45.5,74,0,0,90,0,0,0,0,0,tx_utn_priest_name,tx_utn_priest_pname,Priest_10,,icon_unit_priest_10,[0 0 0 0],0,0,vtt_unit_Priest,[v_Priest_10_sel01],[v_Priest_10_com01 v_Priest_10_com02 v_Priest_10_spe01],[v_Priest_10_com01 v_Priest_10_com02 v_Priest_10_spe01],[],[],All
PriestUpgradeEpoch13,Priest,"""Unit""",13,490,12,0,0,0,45.5,117,0,0,125,0,0,0,0,0,tx_utn_priest_name,tx_utn_priest_pname,Priest_13,,icon_unit_priest_13,[0 0 0 0],0,0,vtt_unit_Priest,[v_Priest_13_sel01],[v_Priest_13_com01 v_Priest_13_com02 v_Priest_13_spe01],[v_Priest_13_com01 v_Priest_13_com02 v_Priest_13_spe01],[],[],All
SpyUpgradeEpoch1,Spy,"""Unit""",1,75,7,0,0,0,45.5,150,0,0,100,0,0,0,0,0,tx_utn_Spy_name,tx_utn_Spy_pname,Spy,,icon_unit_spy_1,[0 0 0 0],0,0,vtt_unit_Spy,[v_spy_01_sel01],[v_spy_01_com01 v_spy_01_com02],[v_spy_01_com01 v_spy_01_com02 v_spy_01_spe01],[],[],All
SpyUpgradeEpoch4,Spy,"""Unit""",4,100,8,0,0,0,45.5,150,0,0,100,0,0,0,0,0,tx_utn_Spy_name,tx_utn_Spy_pname,Spy_4,,icon_unit_spy_4,[0 0 0 0],0,0,vtt_unit_Spy,[v_spy_04_sel01],[v_spy_04_com01 v_spy_04_com02],[v_spy_04_com01 v_spy_04_com02 v_spy_04_spe01],[],[],All
SpyUpgradeEpoch7,Spy,"""Unit""",7,125,9,0,0,0,45.5,150,0,0,100,0,0,0,0,0,tx_utn_Spy_name,tx_utn_Spy_pname,Spy_7,,icon_unit_spy_7,[0 0 0 0],0,0,vtt_unit_Spy,[v_spy_07_sel01],[v_spy_07_com01 v_spy_07_com02],[v_spy_07_com01 v_spy_07_com02 v_spy_07_spe01],[],[],All
SpyUpgradeEpoch10,Spy,"""Unit""",10,150,10,0,0,0,45.5,150,0,0,100,0,0,0,0,0,tx_utn_Spy_name,tx_utn_Spy_pname,Spy_10,,icon_unit_spy_10,[0 0 0 0],0,0,vtt_unit_Spy,[v_spy_10_sel01],[v_spy_10_com01 v_spy_10_com02],[v_spy_10_com01 v_spy_10_com02 v_spy_10_spe01],[],[],All
SpyUpgradeEpoch13,Spy,"""Unit""",13,205,11,0,0,0,45.5,150,0,0,100,0,0,0,0,0,tx_utn_Spy_name,tx_utn_Spy_pname,Spy_13,,icon_unit_spy_13,[0 0 0 0],0,0,vtt_unit_Spy,[v_spy_13_sel01],[v_spy_13_com01 v_spy_13_com02],[v_spy_13_com01 v_spy_13_com02 v_spy_13_spe01],[],[],All
MerchantShipUpgradeEpoch1,MerchantShip,"""Unit""",1,350,5,0,0,0,65,0,440,0,450,0,0,0,0,0,tx_utn_MerchShip_u1_name,tx_utn_MerchShip_u1_pname,MerchantShip,,icon_unit_MerchantShip_1,[0 0 0 0],0,0,vtt_unit_MerchantShip,[v_MerchantShip_sel01],[v_MerchantShip_com01 v_MerchantShip_com02],[v_MerchantShip_com01 v_MerchantShip_com02],[],[],All
MerchantShipUpgradeEpoch6,MerchantShip,"""Unit""",6,550,5,0,0,0,65,0,440,0,450,0,0,0,0,0,tx_utn_MerchShip_u6_name,tx_utn_MerchShip_u6_pname,MerchantShip_6,,icon_unit_MerchantShip_6,[0 0 0 0],0,0,vtt_unit_MerchantShip,[v_MerchantShip_6_sel01],[v_MerchantShip_6_com01 v_MerchantShip_6_com02],[v_MerchantShip_6_com01 v_MerchantShip_6_com02],[],[MerchantShipEpoch6Size],All
MerchantShipUpgradeEpoch11,MerchantShip,"""Unit""",11,750,5,0,0,0,65,0,440,0,450,0,0,0,0,0,tx_utn_MerchShip_u11_name,tx_utn_MerchShip_u11_pname,MerchantShip_11,,icon_unit_MerchantShip_11,[0 0 0 0],0,0,vtt_unit_MerchantShip,[v_MerchantShip_6_sel01],[v_MerchantShip_6_com01 v_MerchantShip_6_com02],[v_MerchantShip_6_com01 v_MerchantShip_6_com02],[],[MerchantShipEpoch11Size],All
FishingShipUpgradeEpoch1,FishingShip,"""Unit""",1,350,5,0,0,0,50,0,200,0,50,0,0,0,0,0,tx_utn_fishShip_u1_name,tx_utn_fishShip_u1_pname,FishingShip,,icon_unit_FishingShip_1,[0 0 0 0],0,0,vtt_unit_FishingShip,[v_FishingShip_sel01],[v_FishingShip_com01 v_FishingShip_com02],[v_FishingShip_com01 v_FishingShip_com02],[],[],All
FishingShipUpgradeEpoch6,FishingShip,"""Unit""",6,550,5,0,0,0,50,0,200,0,50,0,0,0,0,0,tx_utn_fishShip_u6_name,tx_utn_fishShip_u6_pname,FishingShip_6,,icon_unit_FishingShip_6,[0 0 0 0],0,0,vtt_unit_FishingShip,[v_FishingShip_6_sel01],[v_FishingShip_6_com01 v_FishingShip_6_com02],[v_FishingShip_6_com01 v_FishingShip_6_com02],[],[],All
FishingShipUpgradeEpoch11,FishingShip,"""Unit""",11,800,5,0,0,0,50,0,200,0,50,0,0,0,0,0,tx_utn_fishShip_u11_name,tx_utn_fishShip_u11_pname,FishingShip_11,,icon_unit_FishingShip_11,[0 0 0 0],0,0,vtt_unit_FishingShip,[v_FishingShip_11_sel01],[v_FishingShip_11_com01 v_FishingShip_11_com02],[v_FishingShip_11_com01 v_FishingShip_11_com02],[],[],All
CargoShipUpgradeEpoch6,CargoShip,"""Unit""",6,1600,5,0,0,0,39,0,200,0,200,0,0,0,0,0,tx_utn_cargoShip_u6_name,tx_utn_cargoShip_u6_pname,CargoShip,,icon_unit_CargoShip_6,[0 0 0 0],0,0,vtt_unit_CargoShip,[v_CargoShip_sel01],[v_CargoShip_com01 v_CargoShip_com02],[v_CargoShip_com01 v_CargoShip_com02],[],[],All
CargoShipUpgradeEpoch11,CargoShip,"""Unit""",11,1900,6,0,0,0,39,0,250,0,250,0,0,0,0,0,tx_utn_cargoShip_u11_name,tx_utn_cargoShip_u11_pname,CargoShip_11,,icon_unit_CargoShip_11,[0 0 0 0],0,0,vtt_unit_CargoShip,[v_CargoShip_11_sel01],[v_CargoShip_11_com01 v_CargoShip_11_com02],[v_CargoShip_11_com01 v_CargoShip_11_com02],[],[CargoShipEpoch11Garrison CargoShipEpoch11Size],All
